,Movie Title,Gross Revenue (USD),Genre
0,Star Wars: Episode VII - The Force Awakens,"$936,662,225","Action, Adventure, Sci-Fi"
1,Avengers: Endgame,"$858,373,000","Action, Adventure, Drama"
2,Black Panther,"$700,059,566","Action, Adventure, Sci-Fi"
3,Avengers: Infinity War,"$678,815,482","Action, Adventure, Sci-Fi"
4,Jurassic World,"$652,270,625","Action, Adventure, Sci-Fi"
5,The Avengers,"$623,279,547","Action, Adventure, Sci-Fi"
6,Star Wars: Episode VIII - The Last Jedi,"$620,181,382","Action, Adventure, Fantasy"
7,Incredibles 2,"$608,581,744","Animation, Action, Adventure"
8,The Lion King,"$543,638,043","Animation, Adventure, Drama"
9,Rogue One: A Star Wars Story,"$532,177,324","Action, Adventure, Sci-Fi"
10,Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542","Action, Adventure, Fantasy"
11,Beauty and the Beast,"$504,014,165","Family, Fantasy, Musical"
12,Finding Dory,"$486,295,561","Animation, Adventure, Comedy"
13,Frozen II,"$477,373,578","Animation, Adventure, Comedy"
14,Avengers: Age of Ultron,"$459,005,868","Action, Adventure, Sci-Fi"
15,The Dark Knight Rises,"$448,139,099","Action, Adventure"
16,Toy Story 4,"$434,038,008","Animation, Adventure, Comedy"
17,Captain Marvel,"$426,829,839","Action, Adventure, Sci-Fi"
18,The Hunger Games: Catching Fire,"$424,668,047","Action, Adventure, Mystery"
19,Jurassic World: Fallen Kingdom,"$417,719,760","Action, Adventure, Sci-Fi"
20,Toy Story 3,"$415,004,880","Animation, Adventure, Comedy"
21,Wonder Woman,"$412,563,408","Action, Adventure, Fantasy"
22,Iron Man Three,"$409,013,994","Action, Adventure, Sci-Fi"
23,Captain America: Civil War,"$408,084,349","Action, Adventure, Sci-Fi"
24,The Hunger Games,"$408,010,692","Action, Adventure, Sci-Fi"
25,Jumanji: Welcome to the Jungle,"$404,515,480","Action, Adventure, Comedy"
26,Frozen,"$400,738,009","Animation, Adventure, Comedy"
27,Spider-Man: Far from Home,"$390,532,085","Action, Adventure, Sci-Fi"
28,Guardians of the Galaxy Vol. 2,"$389,813,101","Action, Adventure, Comedy"
29,Harry Potter and the Deathly Hallows: Part 2,"$381,011,219","Adventure, Drama, Fantasy"
30,The Secret Life of Pets,"$368,384,330","Animation, Adventure, Comedy"
31,Despicable Me 2,"$368,061,265","Animation, Adventure, Comedy"
32,The Jungle Book,"$364,001,123","Adventure, Drama, Family"
33,Deadpool,"$363,070,709","Action, Adventure, Comedy"
34,Inside Out,"$356,461,711","Animation, Adventure, Comedy"
35,Aladdin,"$355,559,216","Adventure, Family, Fantasy"
