,Movie Title,Gross Revenue (USD),Genre,Runtime (min),IMDB Rating
0,Star Wars: Episode VII - The Force Awakens,"$936,662,225","Action, Adventure, Sci-Fi",136.0,8.0
1,Avengers: Endgame,"$858,373,000","Action, Adventure, Drama",181.0,8.8
2,Black Panther,"$700,059,566","Action, Adventure, Sci-Fi",134.0,7.3
3,Avengers: Infinity War,"$678,815,482","Action, Adventure, Sci-Fi",149.0,8.5
4,Jurassic World,"$652,270,625","Action, Adventure, Sci-Fi",124.0,7.0
5,The Avengers,"$623,279,547","Action, Adventure, Sci-Fi",143.0,8.1
6,Incredibles 2,"$608,581,744","Animation, Action, Adventure",118.0,7.7
7,Rogue One: A Star Wars Story,"$532,177,324","Action, Adventure, Sci-Fi",133.0,7.8
8,Beauty and the Beast,"$504,014,165","Family, Fantasy, Musical",112.0,6.4
10,Finding Dory,"$486,295,561","Animation, Adventure, Comedy",97.0,7.3
11,Avengers: Age of Ultron,"$459,005,868","Action, Adventure, Sci-Fi",141.0,7.3
12,The Dark Knight Rises,"$448,139,099","Action, Adventure",164.0,8.4
13,Captain Marvel,"$426,829,839","Action, Adventure, Sci-Fi",123.0,7.0
14,The Hunger Games: Catching Fire,"$424,668,047","Action, Adventure, Mystery",146.0,7.5
15,Jurassic World: Fallen Kingdom,"$417,719,760","Action, Adventure, Sci-Fi",128.0,6.2
16,Toy Story 3,"$415,004,880","Animation, Adventure, Comedy",103.0,8.3
17,Wonder Woman,"$412,563,408","Action, Adventure, Fantasy",141.0,7.5
20,Captain America: Civil War,"$408,084,349","Action, Adventure, Sci-Fi",147.0,7.8
21,The Hunger Games,"$408,010,692","Action, Adventure, Sci-Fi",142.0,7.2
22,Jumanji: Welcome to the Jungle,"$404,515,480","Action, Adventure, Comedy",119.0,7.0
23,Frozen,"$400,738,009","Animation, Adventure, Comedy",93.0,6.2
29,Guardians of the Galaxy Vol. 2,"$389,813,101","Action, Adventure, Comedy",136.0,7.7
30,Harry Potter and the Deathly Hallows: Part 2,"$381,011,219","Adventure, Drama, Fantasy",130.0,8.1
31,The Secret Life of Pets,"$368,384,330","Animation, Adventure, Comedy",87.0,6.5
32,Despicable Me 2,"$368,061,265","Animation, Adventure, Comedy",98.0,7.4
33,The Jungle Book,"$364,001,123","Adventure, Drama, Family",64.0,7.0
35,Deadpool,"$363,070,709","Action, Adventure, Comedy",108.0,8.0
36,Inside Out,"$356,461,711","Animation, Adventure, Comedy",93.0,4.6
40,Aladdin,"$355,559,216","Adventure, Family, Fantasy",128.0,7.4
41,Furious 7,"$353,007,020","Action, Adventure, Crime",137.0,7.2
42,Transformers: Dark of the Moon,"$352,390,543","Action, Adventure, Sci-Fi",154.0,6.2
43,American Sniper,"$350,126,372","Action, Biography, Drama",133.0,7.3
44,Zootopia,"$341,268,248","Animation, Adventure, Comedy",108.0,8.0
45,The Hunger Games: Mockingjay - Part 1,"$337,135,885","Action, Adventure, Sci-Fi",123.0,6.6
46,Minions,"$336,045,770","Animation, Adventure, Comedy",91.0,6.4
47,Joker,"$335,451,311","Crime, Drama, Thriller",104.0,2.6
53,Aquaman,"$335,061,807","Action, Adventure, Fantasy",143.0,7.1
54,Spider-Man: Homecoming,"$334,201,140","Action, Adventure, Sci-Fi",133.0,7.5
55,Alice in Wonderland,"$334,191,110","Adventure, Family, Fantasy",108.0,6.5
57,Guardians of the Galaxy,"$333,176,600","Action, Adventure, Comedy",121.0,8.1
58,Batman v Superman: Dawn of Justice,"$330,360,194","Action, Adventure, Sci-Fi",151.0,6.5
59,It,"$327,481,748",Horror,135.0,7.4
60,Suicide Squad,"$325,100,054","Action, Adventure, Fantasy",123.0,6.0
61,Deadpool 2,"$324,591,735","Action, Adventure, Comedy",119.0,7.8
62,Thor: Ragnarok,"$315,058,289","Action, Adventure, Comedy",130.0,7.9
63,Iron Man 2,"$312,433,331","Action, Adventure, Sci-Fi",124.0,7.0
64,Skyfall,"$304,360,277","Action, Adventure, Thriller",143.0,7.8
65,The Hobbit: An Unexpected Journey,"$303,003,568","Adventure, Family, Fantasy",169.0,7.9
66,The Twilight Saga: Eclipse,"$300,531,751","Adventure, Drama, Fantasy",124.0,5.0
67,Harry Potter and the Deathly Hallows: Part 1,"$295,983,305","Adventure, Family, Fantasy",146.0,7.7
68,Inception,"$292,576,195","Action, Adventure, Sci-Fi",148.0,8.8
