,Unnamed: 0,Movie Title,Gross Revenue (USD),Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD)
0,0,Star Wars: Episode VII - The Force Awakens,"$936,662,225","Action, Adventure, Sci-Fi",tt2488496,136.0,8.0,"$2,068,223,624"
1,1,Avengers: Endgame,"$858,373,000","Action, Adventure, Drama",tt4154796,181.0,8.8,"$2,797,800,564"
2,2,Black Panther,"$700,059,566","Action, Adventure, Sci-Fi",tt1825683,134.0,7.3,"$1,346,913,161"
3,3,Avengers: Infinity War,"$678,815,482","Action, Adventure, Sci-Fi",tt4154756,149.0,8.5,"$2,048,359,754"
4,4,Jurassic World,"$652,270,625","Action, Adventure, Sci-Fi",tt0369610,124.0,7.0,"$1,670,400,637"
5,5,The Avengers,"$623,279,547","Action, Adventure, Sci-Fi",tt0848228,143.0,8.1,"$1,518,812,988"
6,6,Incredibles 2,"$608,581,744","Animation, Action, Adventure",tt3606756,118.0,7.7,"$1,242,805,359"
7,7,Rogue One: A Star Wars Story,"$532,177,324","Action, Adventure, Sci-Fi",tt3748528,133.0,7.8,"$1,056,057,273"
8,8,Beauty and the Beast,"$504,014,165","Family, Fantasy, Musical",tt2316801,112.0,6.4,"$1,263,521,126"
9,10,Finding Dory,"$486,295,561","Animation, Adventure, Comedy",tt2277860,97.0,7.3,"$1,028,570,889"
10,11,Avengers: Age of Ultron,"$459,005,868","Action, Adventure, Sci-Fi",tt2395427,141.0,7.3,"$1,402,805,868"
11,12,The Dark Knight Rises,"$448,139,099","Action, Adventure",tt1345836,164.0,8.4,"$1,081,041,287"
12,13,Captain Marvel,"$426,829,839","Action, Adventure, Sci-Fi",tt4154664,123.0,7.0,"$1,128,274,794"
13,14,The Hunger Games: Catching Fire,"$424,668,047","Action, Adventure, Mystery",tt1951264,146.0,7.5,"$865,011,746"
14,15,Jurassic World: Fallen Kingdom,"$417,719,760","Action, Adventure, Sci-Fi",tt4881806,128.0,6.2,"$1,308,467,944"
15,16,Toy Story 3,"$415,004,880","Animation, Adventure, Comedy",tt0435761,103.0,8.3,"$1,066,969,703"
16,17,Wonder Woman,"$412,563,408","Action, Adventure, Fantasy",tt0451279,141.0,7.5,"$821,847,012"
17,20,Captain America: Civil War,"$408,084,349","Action, Adventure, Sci-Fi",tt3498820,147.0,7.8,"$1,153,296,293"
18,21,The Hunger Games,"$408,010,692","Action, Adventure, Sci-Fi",tt1392170,142.0,7.2,"$694,394,724"
19,22,Jumanji: Welcome to the Jungle,"$404,515,480","Action, Adventure, Comedy",tt2283362,119.0,7.0,"$962,077,546"
20,23,Frozen,"$400,738,009","Animation, Adventure, Comedy",tt1323045,93.0,6.2,"$1,280,802,282"
21,29,Guardians of the Galaxy Vol. 2,"$389,813,101","Action, Adventure, Comedy",tt3896198,136.0,7.7,"$863,756,051"
22,30,Harry Potter and the Deathly Hallows: Part 2,"$381,011,219","Adventure, Drama, Fantasy",tt1201607,130.0,8.1,"$1,341,511,219"
23,31,The Secret Life of Pets,"$368,384,330","Animation, Adventure, Comedy",tt2709768,87.0,6.5,"$875,457,937"
24,32,Despicable Me 2,"$368,061,265","Animation, Adventure, Comedy",tt1690953,98.0,7.4,"$970,766,005"
25,33,The Jungle Book,"$364,001,123","Adventure, Drama, Family",tt2226178,64.0,7.0,"$966,550,600"
26,35,Deadpool,"$363,070,709","Action, Adventure, Comedy",tt1431045,108.0,8.0,"$782,612,155"
27,36,Inside Out,"$356,461,711","Animation, Adventure, Comedy",tt1640486,93.0,4.6,"$857,611,174"
28,40,Aladdin,"$355,559,216","Adventure, Family, Fantasy",tt6139732,128.0,7.4,"$1,050,693,953"
29,41,Furious 7,"$353,007,020","Action, Adventure, Crime",tt2820852,137.0,7.2,"$1,515,047,671"
30,42,Transformers: Dark of the Moon,"$352,390,543","Action, Adventure, Sci-Fi",tt1399103,154.0,6.2,"$1,123,794,079"
31,43,American Sniper,"$350,126,372","Action, Biography, Drama",tt2179136,133.0,7.3,"$547,426,372"
32,44,Zootopia,"$341,268,248","Animation, Adventure, Comedy",tt2948356,108.0,8.0,"$1,023,784,195"
33,45,The Hunger Games: Mockingjay - Part 1,"$337,135,885","Action, Adventure, Sci-Fi",tt1951265,123.0,6.6,"$755,356,711"
